,Current Team,Name,Season,Injury,Date Injured,Date Return,Days Out,Matches Out,Team
10,Manchester United,Phil Jones,14/15,Ankle Injury,"Apr 13, 2015","Apr 30, 2015",17.0,2.0,Manchester United
11,Manchester United,Phil Jones,14/15,Shinbone injury,"Oct 23, 2014","Dec 11, 2014",49.0,7.0,Manchester United
12,Manchester United,Phil Jones,14/15,Hamstring Injury,"Sep 8, 2014","Oct 6, 2014",28.0,4.0,Manchester United
13,Manchester United,Phil Jones,13/14,Shoulder Injury,"May 5, 2014","Jun 23, 2014",49.0,2.0,Manchester United
14,Manchester United,Phil Jones,13/14,Concussion,"Feb 17, 2014","Mar 6, 2014",17.0,2.0,Manchester United
0,Manchester United,Chris Smalling,18/19,Foot Injury,"Dec 9, 2018","Jan 13, 2019",35.0,8.0,Manchester United
1,Manchester United,Chris Smalling,16/17,Knee Injury,"Mar 23, 2017","May 1, 2017",39.0,9.0,Manchester United
2,Manchester United,Chris Smalling,16/17,Foot Injury,"Oct 24, 2016","Dec 15, 2016",52.0,12.0,Manchester United
3,Manchester United,Chris Smalling,15/16,Shoulder Injury,"Feb 22, 2016","Mar 7, 2016",14.0,5.0,Manchester United
4,Manchester United,Chris Smalling,14/15,Groin Injury,"Dec 8, 2014","Dec 25, 2014",17.0,3.0,Manchester United
5,Manchester United,Chris Smalling,14/15,Hamstring Injury,"Sep 25, 2014","Oct 6, 2014",11.0,2.0,Manchester United
6,Manchester United,Chris Smalling,13/14,Hamstring Injury,"Dec 5, 2013","Dec 16, 2013",11.0,3.0,Manchester United
7,Manchester United,Chris Smalling,12/13,Metatarsal Fracture,"Jul 19, 2012","Nov 1, 2012",105.0,14.0,Manchester United
8,Manchester United,Chris Smalling,11/12,Head Injury,"Mar 1, 2012","Mar 8, 2012",7.0,2.0,Manchester United
0,Manchester United,Marcos Rojo,18/19,Unknown Injury,"Dec 13, 2018","Feb 25, 2019",74.0,15.0,Manchester United
1,Manchester United,Marcos Rojo,18/19,Knee Injury,"Jun 30, 2018","Sep 13, 2018",75.0,4.0,Manchester United
2,Manchester United,Marcos Rojo,17/18,Head Injury,"Dec 10, 2017","Dec 16, 2017",6.0,2.0,Manchester United
3,Manchester United,Marcos Rojo,17/18,Fitness,"Oct 23, 2017","Nov 17, 2017",25.0,4.0,Manchester United
4,Manchester United,Marcos Rojo,17/18,Cruciate Ligament Rupture,"Apr 21, 2017","Nov 14, 2017",207.0,28.0,Manchester United
5,Manchester United,Marcos Rojo,15/16,Shoulder Injury,"Dec 3, 2015","Feb 25, 2016",84.0,18.0,Manchester United
6,Manchester United,Marcos Rojo,15/16,Thigh Muscle Strain,"Sep 21, 2015","Oct 15, 2015",24.0,4.0,Manchester United
7,Manchester United,Marcos Rojo,15/16,Knock,"Jul 6, 2015","Sep 3, 2015",59.0,6.0,Manchester United
8,Manchester United,Marcos Rojo,14/15,groin strain,"Apr 13, 2015","May 14, 2015",31.0,4.0,Manchester United
9,Manchester United,Marcos Rojo,14/15,Dead Leg,"Dec 8, 2014","Jan 1, 2015",24.0,6.0,Manchester United
10,Manchester United,Marcos Rojo,14/15,Shoulder Injury,"Nov 3, 2014","Nov 27, 2014",24.0,2.0,Manchester United
11,Manchester United,Marcos Rojo,13/14,Arm Injury,"Sep 2, 2013","Sep 19, 2013",17.0,1.0,Sporting CP
12,Manchester United,Marcos Rojo,13/14,Twisted knee,"Aug 8, 2013","Aug 15, 2013",7.0,0.0,Manchester United
13,Manchester United,Marcos Rojo,13/14,Knee Problems,"Jul 22, 2013","Jul 29, 2013",7.0,0.0,Manchester United
14,Manchester United,Marcos Rojo,12/13,Hamstring Injury,"Jan 21, 2013","Feb 21, 2013",31.0,4.0,Sporting CP
0,Manchester United,Axel Tuanzebe,18/19,Metatarsal Fracture,"Dec 22, 2018","Mar 29, 2019",97.0,17.0,Aston Villa
0,Manchester United,Luke Shaw,18/19,Concussion,"Sep 8, 2018","Sep 19, 2018",11.0,2.0,Manchester United
1,Manchester United,Luke Shaw,16/17,Foot Injury,"Apr 30, 2017","Aug 20, 2017",112.0,11.0,Manchester United
2,Manchester United,Luke Shaw,16/17,Groin Injury,"Oct 30, 2016","Jan 2, 2017",64.0,14.0,Manchester United
3,Manchester United,Luke Shaw,15/16,Tibia and Fibula Fracture,"Sep 16, 2015","Jun 30, 2016",288.0,51.0,Manchester United
4,Manchester United,Luke Shaw,14/15,Facial Injury,"May 11, 2015","May 21, 2015",10.0,1.0,Manchester United
5,Manchester United,Luke Shaw,14/15,Hamstring Injury,"Mar 9, 2015","Apr 16, 2015",38.0,5.0,Manchester United
6,Manchester United,Luke Shaw,14/15,Ankle Injury,"Nov 24, 2014","Jan 1, 2015",38.0,8.0,Manchester United
7,Manchester United,Luke Shaw,14/15,Hamstring Injury,"Aug 7, 2014","Sep 11, 2014",35.0,4.0,Manchester United
8,Manchester United,Luke Shaw,12/13,Ankle Injury,"Feb 4, 2013","Feb 21, 2013",17.0,1.0,Southampton FC
0,Manchester United,Ashley Young,16/17,Muscular problems,"May 4, 2017","Aug 20, 2017",108.0,10.0,Manchester United
1,Manchester United,Ashley Young,16/17,Knock,"Apr 3, 2017","Apr 13, 2017",10.0,3.0,Manchester United
2,Manchester United,Ashley Young,15/16,Knock,"Jan 18, 2016","Mar 14, 2016",56.0,13.0,Manchester United
3,Manchester United,Ashley Young,14/15,Hamstring Injury,"Jan 1, 2015","Feb 2, 2015",32.0,6.0,Manchester United
4,Manchester United,Ashley Young,14/15,Groin Injury,"Sep 11, 2014","Oct 20, 2014",39.0,5.0,Manchester United
5,Manchester United,Ashley Young,12/13,Ankle Injury,"Apr 8, 2013","Aug 19, 2013",133.0,10.0,Manchester United
6,Manchester United,Ashley Young,12/13,Knee Injury,"Jan 14, 2013","Feb 11, 2013",28.0,6.0,Manchester United
7,Manchester United,Ashley Young,12/13,Knee Injury,"Aug 27, 2012","Oct 8, 2012",42.0,8.0,Manchester United
8,Manchester United,Ashley Young,11/12,Ankle Injury,"Dec 22, 2011","Feb 2, 2012",42.0,8.0,Manchester United
0,Manchester United,Cameron Borthwick-Jackson,18/19,Cartilage Damage,"Jan 26, 2019","Mar 22, 2019",55.0,9.0,Scunthorpe United
1,Manchester United,Cameron Borthwick-Jackson,16/17,Groin Injury,"Jul 19, 2016","Aug 14, 2016",26.0,2.0,Manchester United
2,Manchester United,Cameron Borthwick-Jackson,15/16,Knock,"Feb 22, 2016","Mar 23, 2016",30.0,9.0,Manchester United
0,Manchester United,Diogo Dalot,18/19,Unknown Injury,"Oct 17, 2018","Nov 30, 2018",44.0,8.0,Manchester United
1,Manchester United,Diogo Dalot,17/18,Meniscal Injury,"Apr 28, 2018","Aug 30, 2018",124.0,7.0,FC Porto
0,Manchester United,Matteo Darmian,15/16,Shoulder Injury,"Feb 13, 2016","Mar 1, 2016",17.0,5.0,Manchester United
1,Manchester United,Matteo Darmian,15/16,Unknown Injury,"Dec 8, 2015","Dec 27, 2015",19.0,4.0,Manchester United
2,Manchester United,Matteo Darmian,10/11,Muscular problems,"Feb 8, 2011","Feb 26, 2011",18.0,2.0,US Palermo
3,Manchester United,Matteo Darmian,10/11,Thigh Problems,"Nov 23, 2010","Jan 1, 2011",39.0,6.0,US Palermo
0,Manchester United,Antonio Valencia,18/19,Calf Strain,"Feb 8, 2019","Mar 16, 2019",36.0,9.0,Manchester United
1,Manchester United,Antonio Valencia,18/19,Knee Injury,"Oct 25, 2018","Nov 14, 2018",20.0,4.0,Manchester United
2,Manchester United,Antonio Valencia,18/19,Calf Strain,"Jul 22, 2018","Aug 27, 2018",36.0,3.0,Manchester United
3,Manchester United,Antonio Valencia,17/18,Hamstring Injury,"Dec 17, 2017","Jan 12, 2018",26.0,7.0,Manchester United
4,Manchester United,Antonio Valencia,17/18,Minor Knock,"Sep 25, 2017","Sep 28, 2017",3.0,1.0,Manchester United
5,Manchester United,Antonio Valencia,17/18,Rest ,"Sep 18, 2017","Sep 21, 2017",3.0,1.0,Manchester United
6,Manchester United,Antonio Valencia,16/17,Fractured Arm,"Oct 27, 2016","Nov 14, 2016",18.0,3.0,Manchester United
7,Manchester United,Antonio Valencia,15/16,Fitness,"Feb 29, 2016","Mar 10, 2016",10.0,3.0,Manchester United
8,Manchester United,Antonio Valencia,15/16,Ankle Surgery,"Oct 26, 2015","Feb 29, 2016",126.0,26.0,Manchester United
9,Manchester United,Antonio Valencia,14/15,Hamstring Injury,"Oct 6, 2014","Oct 27, 2014",21.0,2.0,Manchester United
10,Manchester United,Antonio Valencia,11/12,Tendon crack,"Feb 16, 2012","Mar 19, 2012",32.0,8.0,Manchester United
11,Manchester United,Antonio Valencia,10/11,Ankle Injury,"Sep 13, 2010","Jan 31, 2011",140.0,30.0,Manchester United
12,Manchester United,Antonio Valencia,09/10,Ankle Injury,"Apr 26, 2010","Aug 16, 2010",112.0,4.0,Manchester United
0,Manchester United,Timothy Fosu-Mensah,18/19,Cruciate Ligament Surgery,"Apr 13, 2019","Jul 1, 2019",79.0,0.0,Manchester United
1,Manchester United,Timothy Fosu-Mensah,18/19,Shoulder Injury,"Sep 29, 2018","Oct 18, 2018",19.0,2.0,Fulham FC
2,Manchester United,Timothy Fosu-Mensah,16/17,Shoulder Injury,"Apr 27, 2017","May 20, 2017",23.0,7.0,Manchester United
0,Manchester United,Nemanja Matic,18/19,Muscle Injury,"Feb 20, 2019","Mar 10, 2019",18.0,5.0,Manchester United
1,Manchester United,Nemanja Matic,15/16,Knock,"Oct 12, 2015","Oct 19, 2015",7.0,1.0,Chelsea FC
2,Manchester United,Nemanja Matic,14/15,Ankle Injury,"Feb 26, 2015","Mar 9, 2015",11.0,2.0,Chelsea FC
0,Manchester United,Paul Pogba,18/19,Muscle Injury,"Nov 8, 2018","Nov 21, 2018",13.0,1.0,Manchester United
1,Manchester United,Paul Pogba,17/18,Thigh muscle rupture,"Sep 14, 2017","Nov 16, 2017",63.0,12.0,Manchester United
2,Manchester United,Paul Pogba,16/17,Hamstring Injury,"Mar 16, 2017","Apr 3, 2017",18.0,3.0,Manchester United
3,Manchester United,Paul Pogba,15/16,Distortion of the ankle,"Oct 8, 2015","Oct 15, 2015",7.0,0.0,Manchester United
4,Manchester United,Paul Pogba,14/15,Hamstring Injury,"Mar 19, 2015","May 7, 2015",49.0,12.0,Juventus FC
0,Manchester United,Fred,17/18,Minor Knock,"Jun 11, 2018","Jun 14, 2018",3.0,0.0,Manchester United
1,Manchester United,Fred,13/14,Knock,"Mar 10, 2014","Mar 27, 2014",17.0,3.0,Shakhtar Donetsk
0,Manchester United,Ander Herrera,18/19,Hip problems,"Feb 24, 2019","Mar 16, 2019",20.0,6.0,Manchester United
1,Manchester United,Ander Herrera,18/19,Ankle Injury,"Sep 10, 2018","Sep 24, 2018",14.0,3.0,Manchester United
2,Manchester United,Ander Herrera,17/18,Thigh Problems,"Feb 22, 2018","Mar 31, 2018",37.0,6.0,Manchester United
3,Manchester United,Ander Herrera,15/16,Knock,"Nov 23, 2015","Dec 14, 2015",21.0,5.0,Manchester United
4,Manchester United,Ander Herrera,14/15,Fractured Rib,"Sep 29, 2014","Oct 20, 2014",21.0,2.0,Manchester United
5,Manchester United,Ander Herrera,14/15,Ankle Injury,"Aug 21, 2014","Sep 15, 2014",25.0,4.0,Manchester United
6,Manchester United,Ander Herrera,12/13,Pubitis,"Sep 3, 2012","Oct 18, 2012",45.0,6.0,Athletic Bilbao
7,Manchester United,Ander Herrera,11/12,Meniscal Injury,"Sep 12, 2011","Sep 29, 2011",17.0,5.0,Athletic Bilbao
0,Manchester United,Marouane Fellaini,18/19,Calf Strain,"Jan 11, 2019","Feb 24, 2019",44.0,6.0,Manchester United
1,Manchester United,Marouane Fellaini,17/18,Muscle Injury,"May 4, 2018","Jun 1, 2018",28.0,4.0,Manchester United
2,Manchester United,Marouane Fellaini,17/18,Knee Injury,"Jan 22, 2018","Mar 8, 2018",45.0,8.0,Manchester United
3,Manchester United,Marouane Fellaini,17/18,Knee Injury,"Nov 27, 2017","Jan 4, 2018",38.0,11.0,Manchester United
4,Manchester United,Marouane Fellaini,17/18,Knee Injury,"Oct 9, 2017","Nov 2, 2017",24.0,6.0,Manchester United
5,Manchester United,Marouane Fellaini,17/18,Rest ,"Sep 25, 2017","Sep 28, 2017",3.0,1.0,Manchester United
6,Manchester United,Marouane Fellaini,17/18,Knock,"Aug 28, 2017","Sep 11, 2017",14.0,1.0,Manchester United
7,Manchester United,Marouane Fellaini,15/16,Hamstring Injury,"Feb 11, 2016","Mar 3, 2016",21.0,6.0,Manchester United
8,Manchester United,Marouane Fellaini,14/15,Ankle Injury,"Aug 21, 2014","Sep 29, 2014",39.0,6.0,Manchester United
9,Manchester United,Marouane Fellaini,13/14,Wirst Injury,"Dec 23, 2013","Feb 10, 2014",49.0,11.0,Manchester United
10,Manchester United,Marouane Fellaini,13/14,Back Injury,"Dec 5, 2013","Dec 19, 2013",14.0,4.0,Manchester United
11,Manchester United,Marouane Fellaini,11/12,Ankle Injury,"Mar 3, 2011","Aug 4, 2011",154.0,11.0,Everton FC
12,Manchester United,Marouane Fellaini,10/11,Thigh Problems,"Oct 14, 2010","Nov 18, 2010",35.0,6.0,Everton FC
13,Manchester United,Marouane Fellaini,10/11,Ankle Injury,"Feb 8, 2010","Aug 2, 2010",175.0,16.0,Everton FC
0,Manchester United,Juan Mata,18/19,Hamstring Injury,"Feb 24, 2019","Mar 16, 2019",20.0,6.0,Manchester United
1,Manchester United,Juan Mata,16/17,Groin Surgery,"Mar 30, 2017","Apr 28, 2017",29.0,8.0,Manchester United
0,Manchester United,Andreas Pereira,17/18,Muscle Injury,"May 10, 2018","May 31, 2018",21.0,2.0,Valencia CF
1,Manchester United,Andreas Pereira,17/18,Achilles tendon problems,"Feb 2, 2018","Mar 16, 2018",42.0,8.0,Valencia CF
0,Manchester United,Angel Gomes,18/19,Knock,"Oct 11, 2018","Oct 21, 2018",10.0,1.0,Manchester United U23
0,Manchester United,Alexis Sánchez,18/19,Ankle Injury,"May 5, 2019","Jun 10, 2019",36.0,2.0,Manchester United
1,Manchester United,Alexis Sánchez,18/19,Knee Injury,"Mar 2, 2019","Apr 14, 2019",43.0,8.0,Manchester United
2,Manchester United,Alexis Sánchez,18/19,Thigh Problems,"Jan 5, 2019","Jan 18, 2019",13.0,2.0,Manchester United
3,Manchester United,Alexis Sánchez,18/19,Hamstring Injury,"Nov 29, 2018","Dec 31, 2018",32.0,8.0,Manchester United
4,Manchester United,Alexis Sánchez,17/18,Abdominal Strain,"Aug 6, 2017","Aug 20, 2017",14.0,3.0,Arsenal FC
5,Manchester United,Alexis Sánchez,17/18,Influenza,"Jul 27, 2017","Aug 1, 2017",5.0,0.0,Manchester United
6,Manchester United,Alexis Sánchez,16/17,Thigh Problems,"Nov 8, 2016","Nov 14, 2016",6.0,0.0,Manchester United
7,Manchester United,Alexis Sánchez,15/16,Ankle Injury,"Jun 27, 2016","Aug 8, 2016",42.0,0.0,Manchester United
8,Manchester United,Alexis Sánchez,15/16,Hamstring Injury,"Nov 30, 2015","Jan 22, 2016",53.0,10.0,Arsenal FC
9,Manchester United,Alexis Sánchez,12/13,Ligament Injury,"Nov 15, 2012","Dec 6, 2012",21.0,6.0,FC Barcelona
10,Manchester United,Alexis Sánchez,11/12,Tear in the abductor muscle,"Mar 5, 2012","Mar 15, 2012",10.0,2.0,FC Barcelona
11,Manchester United,Alexis Sánchez,11/12,Torn muscle bundle,"Sep 11, 2011","Nov 4, 2011",54.0,12.0,FC Barcelona
12,Manchester United,Alexis Sánchez,11/12,Thigh Problems,"Aug 17, 2011","Aug 24, 2011",7.0,1.0,FC Barcelona
0,Manchester United,Anthony Martial,18/19,Groin Injury,"Feb 13, 2019","Mar 10, 2019",25.0,6.0,Manchester United
1,Manchester United,Anthony Martial,18/19,Ill,"Dec 26, 2018","Dec 30, 2018",4.0,2.0,Manchester United
2,Manchester United,Anthony Martial,17/18,Thigh Problems,"Feb 26, 2018","Mar 12, 2018",14.0,2.0,Manchester United
3,Manchester United,Anthony Martial,17/18,Rest ,"Jan 25, 2018","Jan 29, 2018",4.0,1.0,Manchester United
4,Manchester United,Anthony Martial,17/18,Rest ,"Dec 25, 2017","Dec 28, 2017",3.0,1.0,Manchester United
5,Manchester United,Anthony Martial,16/17,Head Injury,"Sep 19, 2016","Sep 26, 2016",7.0,2.0,Manchester United
6,Manchester United,Anthony Martial,15/16,Hamstring Injury,"Feb 22, 2016","Feb 29, 2016",7.0,3.0,Manchester United
7,Manchester United,Anthony Martial,13/14,Sprained Ankle,"Dec 19, 2013","Jan 23, 2014",35.0,5.0,AS Monaco
0,Manchester United,Jesse Lingard,18/19,Hamstring Injury,"Feb 24, 2019","Mar 16, 2019",20.0,6.0,Manchester United
1,Manchester United,Jesse Lingard,18/19,groin strain,"Sep 25, 2018","Oct 27, 2018",32.0,6.0,Manchester United
2,Manchester United,Jesse Lingard,16/17,Ankle Injury,"Aug 7, 2016","Sep 9, 2016",33.0,4.0,Manchester United
3,Manchester United,Jesse Lingard,14/15,Knee Injury,"Aug 16, 2014","Dec 8, 2014",114.0,16.0,Manchester United
0,Manchester United,Tahith Chong,16/17,Knee Injury,"Jan 21, 2017","Nov 17, 2017",300.0,21.0,Manchester United U18
0,Manchester United,Romelu Lukaku,18/19,Muscle Injury,"Nov 2, 2018","Nov 10, 2018",8.0,2.0,Manchester United
1,Manchester United,Romelu Lukaku,17/18,Ankle Injury,"Apr 29, 2018","May 19, 2018",20.0,5.0,Manchester United
2,Manchester United,Romelu Lukaku,17/18,Head Injury,"Dec 31, 2017","Jan 4, 2018",4.0,1.0,Manchester United
3,Manchester United,Romelu Lukaku,14/15,Thigh Problems,"Mar 22, 2015","Apr 18, 2015",27.0,4.0,Everton FC
4,Manchester United,Romelu Lukaku,13/14,Torn ankle ligament,"Jan 28, 2014","Feb 28, 2014",31.0,5.0,Everton FC
0,Manchester United,Marcus Rashford,18/19,Ankle Injury,"Mar 21, 2019","Mar 30, 2019",9.0,1.0,Manchester United
1,Manchester United,Marcus Rashford,16/17,Knee Problems,"May 4, 2017","May 4, 2017",0.0,1.0,Manchester United
2,Manchester United,Marcus Rashford,16/17,Cold,"Mar 13, 2017","Mar 13, 2017",0.0,1.0,Manchester United
0,Manchester United,James Wilson,18/19,Knock,"Oct 4, 2018","Oct 8, 2018",4.0,1.0,Aberdeen FC
1,Manchester United,James Wilson,18/19,Knee Injury,"Aug 16, 2018","Sep 21, 2018",36.0,4.0,Aberdeen FC
2,Manchester United,James Wilson,16/17,Ruptured cruciate ligament,"Oct 17, 2016","Aug 25, 2017",312.0,54.0,Derby County
3,Manchester United,James Wilson,14/15,Bruised Foot,"Sep 8, 2014","Oct 2, 2014",24.0,3.0,Manchester United
4,Manchester United,James Wilson,14/15,Fractured Thumb,"Jul 17, 2014","Jul 31, 2014",14.0,0.0,Manchester United
